date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:01|Invoice 1001 paid|Joe|1500.00
2024-10-17|09:05:42|apple|ShopRite|12.5
2024-10-17|09:09:34|orange|Keyfood|5.43
2024-10-17|09:10:32|carrot|Shoprite|12.5
2024-10-17|09:20:26|Thank you for the money|Josh|30.0
2024-09-17|09:41:41|testing zero amount|amazon|-12.0
2024-10-16|09:42:23|test zero amount 1|kevin|0.01
2024-10-17|10:02:41|apple|Grocery Store|10.5
2024-10-17|14:02:27|Cheese|KeyFood|1.0
2024-09-15|10:13:25|keyboard|Amazon|40.0
2024-10-17|14:11:35|a|a|3.0
2024-10-17|14:27:27|X|D|12.0
2024-10-17|14:27:57|W|E|10.0
2024-10-17|14:28:23|a|w|21.0
2024-10-17|14:29:08|q|q|-12.0
2024-10-17|14:31:28|t|t|13.0
2024-10-17|14:31:37|i|i|-9.0
2024-10-17|14:33:23|c|c|23.0
2024-10-17|15:10:08|apple|amazon|3.0
2024-10-17|15:11:15|e|e|1.0
2024-10-17|15:11:44|b|b|-5.0
